order_id,customer_id,product_id,order_date,quantity,total_amount,payment_method,shipping_city,order_status
ORD-2026001,CUST-019,PROD-006,2026-01-11,2,980000,Credit Card,Makassar,Shipped
ORD-2026002,CUST-009,PROD-020,2026-01-09,3,255000,E-Wallet,Bandung,Completed
ORD-2026003,CUST-035,PROD-023,2026-01-04,2,250000,E-Wallet,Bandung,Cancelled
ORD-2026004,CUST-038,PROD-002,2026-02-25,1,620000,Credit Card,Yogyakarta,Shipped
ORD-2026005,CUST-034,PROD-020,2026-02-20,4,340000,Bank Transfer,Jakarta,Processing
ORD-2026006,CUST-012,PROD-019,2026-02-03,4,300000,COD,Surabaya,Completed
ORD-2026007,CUST-019,PROD-012,2026-02-16,4,780000,Credit Card,Makassar,Cancelled
ORD-2026008,CUST-037,PROD-021,2026-01-10,1,175000,COD,Medan,Completed
ORD-2026009,CUST-002,PROD-025,2026-02-13,3,1140000,COD,Yogyakarta,Cancelled
ORD-2026010,CUST-018,PROD-013,2026-02-04,3,660000,Credit Card,Semarang,Processing
ORD-2026011,CUST-035,PROD-017,2026-02-06,4,360000,E-Wallet,Semarang,Processing
ORD-2026012,CUST-008,PROD-010,2026-02-03,1,350000,PayLater,Makassar,Processing
ORD-2026013,CUST-005,PROD-009,2026-01-18,4,740000,PayLater,Makassar,Processing
ORD-2026014,CUST-003,PROD-014,2026-02-11,4,700000,E-Wallet,Semarang,Cancelled
ORD-2026015,CUST-014,PROD-011,2026-02-03,1,150000,COD,Semarang,Completed
ORD-2026016,CUST-001,PROD-025,2026-01-01,3,1140000,COD,Medan,Cancelled
ORD-2026017,CUST-034,PROD-007,2026-02-09,2,480000,COD,Yogyakarta,Cancelled
ORD-2026018,CUST-032,PROD-002,2026-01-16,3,1860000,PayLater,Bandung,Cancelled
ORD-2026019,CUST-005,PROD-021,2026-02-01,1,175000,COD,Medan,Processing
ORD-2026020,CUST-031,PROD-012,2026-02-07,2,390000,Credit Card,Surabaya,Cancelled
ORD-2026021,CUST-035,PROD-009,2026-02-19,1,185000,Credit Card,Jakarta,Completed
ORD-2026022,CUST-037,PROD-013,2026-01-27,1,220000,PayLater,Semarang,Cancelled
ORD-2026023,CUST-002,PROD-002,2026-01-15,1,620000,Bank Transfer,Denpasar,Shipped
ORD-2026024,CUST-015,PROD-008,2026-02-20,2,840000,Credit Card,Yogyakarta,Completed
ORD-2026025,CUST-025,PROD-018,2026-01-23,3,330000,PayLater,Yogyakarta,Shipped
ORD-2026026,CUST-033,PROD-018,2026-01-01,2,220000,PayLater,Semarang,Cancelled
ORD-2026027,CUST-011,PROD-010,2026-02-14,1,350000,Bank Transfer,Surabaya,Completed
ORD-2026028,CUST-013,PROD-012,2026-01-14,1,195000,PayLater,Medan,Completed
ORD-2026029,CUST-007,PROD-013,2026-02-03,2,440000,PayLater,Denpasar,Processing
ORD-2026030,CUST-004,PROD-020,2026-02-17,3,255000,Credit Card,Medan,Processing
ORD-2026031,CUST-025,PROD-015,2026-01-13,1,160000,PayLater,Makassar,Shipped
ORD-2026032,CUST-034,PROD-009,2026-01-04,2,370000,E-Wallet,Semarang,Processing
ORD-2026033,CUST-027,PROD-013,2026-02-17,1,220000,Credit Card,Semarang,Cancelled
ORD-2026034,CUST-037,PROD-006,2026-02-22,1,490000,Bank Transfer,Surabaya,Completed
ORD-2026035,CUST-029,PROD-008,2026-02-07,3,1260000,COD,Medan,Shipped
ORD-2026036,CUST-004,PROD-016,2026-02-11,1,145000,E-Wallet,Bandung,Processing
ORD-2026037,CUST-007,PROD-014,2026-01-23,1,175000,Credit Card,Medan,Cancelled
ORD-2026038,CUST-021,PROD-025,2026-02-21,2,760000,E-Wallet,Surabaya,Cancelled
ORD-2026039,CUST-024,PROD-012,2026-02-06,3,585000,PayLater,Yogyakarta,Processing
ORD-2026040,CUST-023,PROD-006,2026-01-25,4,1960000,Credit Card,Bandung,Cancelled
ORD-2026041,CUST-002,PROD-024,2026-02-21,3,1650000,PayLater,Makassar,Shipped
ORD-2026042,CUST-039,PROD-025,2026-01-20,1,380000,Credit Card,Jakarta,Processing
ORD-2026043,CUST-025,PROD-009,2026-02-22,4,740000,Credit Card,Semarang,Shipped
ORD-2026044,CUST-038,PROD-006,2026-02-14,1,490000,Credit Card,Surabaya,Shipped
ORD-2026045,CUST-001,PROD-018,2026-02-13,2,220000,Bank Transfer,Medan,Processing
ORD-2026046,CUST-033,PROD-010,2026-01-16,4,1400000,PayLater,Semarang,Cancelled
ORD-2026047,CUST-040,PROD-018,2026-01-23,2,220000,Credit Card,Medan,Shipped
ORD-2026048,CUST-006,PROD-013,2026-02-17,1,220000,Credit Card,Denpasar,Cancelled
ORD-2026049,CUST-029,PROD-014,2026-02-13,3,525000,Credit Card,Medan,Cancelled
ORD-2026050,CUST-031,PROD-023,2026-01-09,1,125000,Credit Card,Surabaya,Completed
ORD-2026051,CUST-023,PROD-015,2026-02-07,3,480000,PayLater,Surabaya,Completed
ORD-2026052,CUST-010,PROD-023,2026-01-03,1,125000,E-Wallet,Semarang,Completed
ORD-2026053,CUST-022,PROD-006,2026-02-28,4,1960000,COD,Surabaya,Shipped
ORD-2026054,CUST-011,PROD-017,2026-01-13,3,270000,PayLater,Semarang,Cancelled
ORD-2026055,CUST-023,PROD-009,2026-02-04,2,370000,Bank Transfer,Makassar,Processing
ORD-2026056,CUST-036,PROD-009,2026-01-26,2,370000,Bank Transfer,Makassar,Processing
ORD-2026057,CUST-037,PROD-013,2026-02-25,4,880000,Credit Card,Medan,Completed
ORD-2026058,CUST-036,PROD-003,2026-01-27,3,840000,Credit Card,Surabaya,Cancelled
ORD-2026059,CUST-015,PROD-012,2026-02-11,3,585000,Credit Card,Yogyakarta,Completed
ORD-2026060,CUST-009,PROD-007,2026-01-14,2,480000,PayLater,Bandung,Processing
ORD-2026061,CUST-009,PROD-015,2026-01-23,3,480000,E-Wallet,Medan,Processing
ORD-2026062,CUST-010,PROD-018,2026-02-09,4,440000,Credit Card,Jakarta,Cancelled
ORD-2026063,CUST-021,PROD-001,2026-01-13,2,900000,PayLater,Medan,Cancelled
ORD-2026064,CUST-040,PROD-008,2026-01-03,1,420000,COD,Bandung,Cancelled
ORD-2026065,CUST-037,PROD-002,2026-02-24,1,620000,Bank Transfer,Surabaya,Shipped
ORD-2026066,CUST-038,PROD-022,2026-02-13,4,380000,COD,Denpasar,Completed
ORD-2026067,CUST-037,PROD-010,2026-01-07,3,1050000,Bank Transfer,Jakarta,Shipped
ORD-2026068,CUST-023,PROD-013,2026-01-05,3,660000,E-Wallet,Denpasar,Cancelled
ORD-2026069,CUST-015,PROD-004,2026-01-22,2,620000,Bank Transfer,Denpasar,Processing
ORD-2026070,CUST-019,PROD-008,2026-01-08,3,1260000,E-Wallet,Surabaya,Completed
ORD-2026071,CUST-006,PROD-007,2026-01-27,2,480000,PayLater,Semarang,Completed
ORD-2026072,CUST-025,PROD-001,2026-02-25,4,1800000,E-Wallet,Surabaya,Completed
ORD-2026073,CUST-018,PROD-007,2026-02-15,4,960000,Bank Transfer,Semarang,Completed
ORD-2026074,CUST-003,PROD-003,2026-02-24,3,840000,COD,Semarang,Processing
ORD-2026075,CUST-034,PROD-016,2026-01-13,1,145000,E-Wallet,Jakarta,Processing
ORD-2026076,CUST-023,PROD-021,2026-01-28,3,525000,E-Wallet,Makassar,Processing
ORD-2026077,CUST-002,PROD-022,2026-02-27,3,285000,Bank Transfer,Semarang,Cancelled
ORD-2026078,CUST-025,PROD-025,2026-01-16,1,380000,Credit Card,Semarang,Cancelled
ORD-2026079,CUST-027,PROD-025,2026-01-10,1,380000,Credit Card,Surabaya,Completed
ORD-2026080,CUST-029,PROD-012,2026-02-28,2,390000,E-Wallet,Semarang,Processing
