enrollment_id,student_id,course_id,academic_term,final_grade,attendance_pct
ENR-0001,2023001,CS-305,2025/2026 Genap,B+,79
ENR-0002,2023001,CS-101,2025/2026 Genap,A,80
ENR-0003,2023001,CS-499,2025/2026 Genap,C,93
ENR-0004,2023002,DS-201,2025/2026 Genap,A-,77
ENR-0005,2023002,CS-499,2025/2026 Genap,A-,81
ENR-0006,2023002,CS-202,2025/2026 Genap,C+,84
ENR-0007,2023003,CS-305,2025/2026 Genap,A,98
ENR-0008,2023003,CS-101,2025/2026 Genap,A,95
ENR-0009,2023003,IS-204,2025/2026 Genap,B,83
ENR-0010,2023004,DS-201,2025/2026 Genap,A-,87
ENR-0011,2023004,CS-499,2025/2026 Genap,C+,94
ENR-0012,2023004,CS-305,2025/2026 Genap,B+,92
ENR-0013,2023005,CS-305,2025/2026 Genap,B,91
ENR-0014,2023005,CS-202,2025/2026 Genap,B+,96
ENR-0015,2023006,CS-101,2025/2026 Genap,B-,76
ENR-0016,2023006,DS-201,2025/2026 Genap,C,81
ENR-0017,2023007,CS-305,2025/2026 Genap,B+,100
ENR-0018,2023007,CS-101,2025/2026 Genap,A-,91
ENR-0019,2023008,CS-305,2025/2026 Genap,B-,77
ENR-0020,2023008,CS-410,2025/2026 Genap,B+,76
ENR-0021,2023009,CS-410,2025/2026 Genap,C,88
ENR-0022,2023009,CS-499,2025/2026 Genap,B,90
ENR-0023,2023009,CS-202,2025/2026 Genap,C+,86
ENR-0024,2023010,IS-204,2025/2026 Genap,B+,90
ENR-0025,2023010,CS-202,2025/2026 Genap,C,98
ENR-0026,2023010,CS-499,2025/2026 Genap,B+,79
ENR-0027,2023011,CS-202,2025/2026 Genap,B-,88
ENR-0028,2023011,CS-410,2025/2026 Genap,B+,78
ENR-0029,2023011,CS-305,2025/2026 Genap,C+,95
ENR-0030,2023012,IS-204,2025/2026 Genap,A-,99
ENR-0031,2023012,CS-305,2025/2026 Genap,B-,98
ENR-0032,2023013,CS-410,2025/2026 Genap,C,94
ENR-0033,2023013,CS-499,2025/2026 Genap,B+,78
ENR-0034,2023013,IS-204,2025/2026 Genap,C+,80
ENR-0035,2023014,CS-499,2025/2026 Genap,B,93
ENR-0036,2023014,CS-202,2025/2026 Genap,A,87
ENR-0037,2023014,CS-305,2025/2026 Genap,A-,93
ENR-0038,2023015,IS-301,2025/2026 Genap,A,91
ENR-0039,2023015,CS-499,2025/2026 Genap,A,87
ENR-0040,2023016,CS-499,2025/2026 Genap,C+,82
ENR-0041,2023016,CS-202,2025/2026 Genap,C+,87
ENR-0042,2023017,DS-201,2025/2026 Genap,B,90
ENR-0043,2023017,IS-204,2025/2026 Genap,B+,79
ENR-0044,2023018,CS-499,2025/2026 Genap,B-,96
ENR-0045,2023018,CS-410,2025/2026 Genap,B-,83
ENR-0046,2023018,DS-201,2025/2026 Genap,C+,85
ENR-0047,2023019,IS-301,2025/2026 Genap,C,100
ENR-0048,2023019,CS-202,2025/2026 Genap,B+,81
ENR-0049,2023020,CS-101,2025/2026 Genap,A,99
ENR-0050,2023020,DS-201,2025/2026 Genap,B+,85
ENR-0051,2023020,CS-499,2025/2026 Genap,A-,96
ENR-0052,2023021,CS-202,2025/2026 Genap,A,79
ENR-0053,2023021,CS-410,2025/2026 Genap,C+,88
ENR-0054,2023021,CS-305,2025/2026 Genap,A,89
ENR-0055,2023022,DS-201,2025/2026 Genap,A-,75
ENR-0056,2023022,CS-410,2025/2026 Genap,C,80
ENR-0057,2023023,CS-202,2025/2026 Genap,C,94
ENR-0058,2023023,IS-204,2025/2026 Genap,C,83
ENR-0059,2023024,CS-305,2025/2026 Genap,A-,90
ENR-0060,2023024,IS-301,2025/2026 Genap,B-,81
ENR-0061,2023025,CS-499,2025/2026 Genap,B,83
ENR-0062,2023025,DS-201,2025/2026 Genap,A-,99
ENR-0063,2023026,CS-202,2025/2026 Genap,A,93
ENR-0064,2023026,IS-301,2025/2026 Genap,C+,94
ENR-0065,2023027,CS-410,2025/2026 Genap,B+,96
ENR-0066,2023027,IS-204,2025/2026 Genap,C,89
ENR-0067,2023027,IS-301,2025/2026 Genap,C+,89
ENR-0068,2023028,IS-204,2025/2026 Genap,C,100
ENR-0069,2023028,CS-499,2025/2026 Genap,A-,84
ENR-0070,2023028,CS-101,2025/2026 Genap,A,84
ENR-0071,2023029,IS-301,2025/2026 Genap,B,96
ENR-0072,2023029,DS-201,2025/2026 Genap,B-,87
ENR-0073,2023030,IS-204,2025/2026 Genap,B,76
ENR-0074,2023030,DS-201,2025/2026 Genap,A,99
ENR-0075,2023030,CS-101,2025/2026 Genap,B-,100
ENR-0076,2023031,IS-204,2025/2026 Genap,C+,85
ENR-0077,2023031,CS-499,2025/2026 Genap,C,76
ENR-0078,2023031,IS-301,2025/2026 Genap,B,87
ENR-0079,2023032,CS-101,2025/2026 Genap,C+,97
ENR-0080,2023032,IS-301,2025/2026 Genap,B-,94
ENR-0081,2023033,CS-410,2025/2026 Genap,B+,82
ENR-0082,2023033,CS-305,2025/2026 Genap,B-,90
ENR-0083,2023034,CS-101,2025/2026 Genap,B+,85
ENR-0084,2023034,IS-301,2025/2026 Genap,C,96
ENR-0085,2023034,CS-202,2025/2026 Genap,C,85
ENR-0086,2023035,IS-204,2025/2026 Genap,B+,88
ENR-0087,2023035,DS-201,2025/2026 Genap,B+,88
ENR-0088,2023036,CS-202,2025/2026 Genap,B,90
ENR-0089,2023036,CS-410,2025/2026 Genap,B-,91
ENR-0090,2023037,CS-101,2025/2026 Genap,C+,76
ENR-0091,2023037,IS-301,2025/2026 Genap,B+,84
ENR-0092,2023038,IS-301,2025/2026 Genap,C,76
ENR-0093,2023038,CS-101,2025/2026 Genap,B-,90
ENR-0094,2023039,CS-410,2025/2026 Genap,B-,95
ENR-0095,2023039,CS-305,2025/2026 Genap,A,97
ENR-0096,2023040,CS-101,2025/2026 Genap,B,76
ENR-0097,2023040,CS-410,2025/2026 Genap,A,87
ENR-0098,2023040,IS-301,2025/2026 Genap,A,87
ENR-0099,2023041,CS-202,2025/2026 Genap,B,84
ENR-0100,2023041,CS-305,2025/2026 Genap,C,97
ENR-0101,2023042,CS-410,2025/2026 Genap,B,83
ENR-0102,2023042,IS-204,2025/2026 Genap,B,90
ENR-0103,2023042,CS-202,2025/2026 Genap,B-,96
ENR-0104,2023043,DS-201,2025/2026 Genap,C,95
ENR-0105,2023043,CS-202,2025/2026 Genap,A-,92
ENR-0106,2023044,DS-201,2025/2026 Genap,B,80
ENR-0107,2023044,IS-301,2025/2026 Genap,C+,88
ENR-0108,2023045,DS-201,2025/2026 Genap,C,93
ENR-0109,2023045,IS-301,2025/2026 Genap,B,98
ENR-0110,2023046,CS-202,2025/2026 Genap,A,96
ENR-0111,2023046,DS-201,2025/2026 Genap,C+,76
ENR-0112,2023047,IS-301,2025/2026 Genap,B-,91
ENR-0113,2023047,DS-201,2025/2026 Genap,B+,77
ENR-0114,2023047,IS-204,2025/2026 Genap,A-,75
ENR-0115,2023048,CS-305,2025/2026 Genap,C,87
ENR-0116,2023048,CS-101,2025/2026 Genap,C,85
ENR-0117,2023048,IS-301,2025/2026 Genap,C+,96
ENR-0118,2023049,CS-410,2025/2026 Genap,C+,88
ENR-0119,2023049,CS-202,2025/2026 Genap,B,81
ENR-0120,2023050,IS-301,2025/2026 Genap,C+,78
ENR-0121,2023050,CS-410,2025/2026 Genap,A-,83
ENR-0122,2023050,IS-204,2025/2026 Genap,C+,87
