enrollment_id,student_id,course_id,academic_term,final_grade,attendance_pct
ENR-0001,STD-2023001,CS-305,2025/2026 Genap,B+,79
ENR-0002,STD-2023001,CS-101,2025/2026 Genap,A,80
ENR-0003,STD-2023001,CS-499,2025/2026 Genap,C,93
ENR-0004,STD-2023002,DS-201,2025/2026 Genap,A-,77
ENR-0005,STD-2023002,CS-499,2025/2026 Genap,A-,81
ENR-0006,STD-2023002,CS-202,2025/2026 Genap,C+,84
ENR-0007,STD-2023003,CS-305,2025/2026 Genap,A,98
ENR-0008,STD-2023003,CS-101,2025/2026 Genap,A,95
ENR-0009,STD-2023003,IS-204,2025/2026 Genap,B,83
ENR-0010,STD-2023004,DS-201,2025/2026 Genap,A-,87
ENR-0011,STD-2023004,CS-499,2025/2026 Genap,C+,94
ENR-0012,STD-2023004,CS-305,2025/2026 Genap,B+,92
ENR-0013,STD-2023005,CS-305,2025/2026 Genap,B,91
ENR-0014,STD-2023005,CS-202,2025/2026 Genap,B+,96
ENR-0015,STD-2023006,CS-101,2025/2026 Genap,B-,76
ENR-0016,STD-2023006,DS-201,2025/2026 Genap,C,81
ENR-0017,STD-2023007,CS-305,2025/2026 Genap,B+,100
ENR-0018,STD-2023007,CS-101,2025/2026 Genap,A-,91
ENR-0019,STD-2023008,CS-305,2025/2026 Genap,B-,77
ENR-0020,STD-2023008,CS-410,2025/2026 Genap,B+,76
ENR-0021,STD-2023009,CS-410,2025/2026 Genap,C,88
ENR-0022,STD-2023009,CS-499,2025/2026 Genap,B,90
ENR-0023,STD-2023009,CS-202,2025/2026 Genap,C+,86
ENR-0024,STD-2023010,IS-204,2025/2026 Genap,B+,90
ENR-0025,STD-2023010,CS-202,2025/2026 Genap,C,98
ENR-0026,STD-2023010,CS-499,2025/2026 Genap,B+,79
ENR-0027,STD-2023011,CS-202,2025/2026 Genap,B-,88
ENR-0028,STD-2023011,CS-410,2025/2026 Genap,B+,78
ENR-0029,STD-2023011,CS-305,2025/2026 Genap,C+,95
ENR-0030,STD-2023012,IS-204,2025/2026 Genap,A-,99
ENR-0031,STD-2023012,CS-305,2025/2026 Genap,B-,98
ENR-0032,STD-2023013,CS-410,2025/2026 Genap,C,94
ENR-0033,STD-2023013,CS-499,2025/2026 Genap,B+,78
ENR-0034,STD-2023013,IS-204,2025/2026 Genap,C+,80
ENR-0035,STD-2023014,CS-499,2025/2026 Genap,B,93
ENR-0036,STD-2023014,CS-202,2025/2026 Genap,A,87
ENR-0037,STD-2023014,CS-305,2025/2026 Genap,A-,93
ENR-0038,STD-2023015,IS-301,2025/2026 Genap,A,91
