booking_id,guest_id,room_id,checkin_date,nights_stayed,total_price_idr,booking_channel,booking_status
BKG-2026001,GST-024,RM-301,2026-02-08,4,9600000,Booking.com,Cancelled
BKG-2026002,GST-017,RM-101,2026-02-01,3,1950000,Direct Website,Checked Out
BKG-2026003,GST-031,RM-401,2026-02-04,4,3400000,Walk-in,Confirmed
BKG-2026004,GST-029,RM-201,2026-02-04,5,5500000,Walk-in,Cancelled
BKG-2026005,GST-031,RM-101,2026-02-01,4,2600000,Direct Website,Confirmed
BKG-2026006,GST-003,RM-401,2026-02-17,1,850000,Agoda,Cancelled
BKG-2026007,GST-004,RM-102,2026-02-04,2,1300000,Walk-in,Checked Out
BKG-2026008,GST-008,RM-202,2026-02-19,2,2200000,Traveloka,Cancelled
BKG-2026009,GST-032,RM-101,2026-02-07,1,650000,Walk-in,Confirmed
BKG-2026010,GST-014,RM-201,2026-02-08,1,1100000,Traveloka,Cancelled
BKG-2026011,GST-003,RM-101,2026-02-10,4,2600000,Walk-in,Cancelled
BKG-2026012,GST-026,RM-501,2026-02-18,3,4950000,Direct Website,Confirmed
BKG-2026013,GST-025,RM-401,2026-02-07,4,3400000,Walk-in,Checked Out
BKG-2026014,GST-001,RM-301,2026-02-11,4,9600000,Walk-in,Cancelled
BKG-2026015,GST-027,RM-301,2026-02-16,1,2400000,Direct Website,Checked Out
BKG-2026016,GST-009,RM-401,2026-02-17,1,850000,Direct Website,Cancelled
BKG-2026017,GST-036,RM-201,2026-02-12,3,3300000,Booking.com,Checked Out
BKG-2026018,GST-034,RM-401,2026-02-08,4,3400000,Traveloka,Confirmed
BKG-2026019,GST-028,RM-402,2026-02-04,4,3600000,Traveloka,Cancelled
BKG-2026020,GST-034,RM-202,2026-02-04,2,2200000,Walk-in,Checked Out
BKG-2026021,GST-016,RM-201,2026-02-14,2,2200000,Walk-in,Cancelled
BKG-2026022,GST-020,RM-401,2026-02-08,2,1700000,Agoda,Confirmed
BKG-2026023,GST-024,RM-201,2026-02-18,1,1100000,Booking.com,Cancelled
BKG-2026024,GST-016,RM-501,2026-02-03,1,1650000,Traveloka,Cancelled
BKG-2026025,GST-022,RM-501,2026-02-06,2,3300000,Agoda,Cancelled
BKG-2026026,GST-017,RM-301,2026-02-14,5,12000000,Direct Website,Cancelled
BKG-2026027,GST-027,RM-401,2026-02-20,4,3400000,Walk-in,Checked Out
BKG-2026028,GST-034,RM-102,2026-02-17,5,3250000,Agoda,Cancelled
BKG-2026029,GST-028,RM-301,2026-02-08,3,7200000,Traveloka,Confirmed
BKG-2026030,GST-024,RM-401,2026-02-02,2,1700000,Direct Website,Cancelled
BKG-2026031,GST-012,RM-401,2026-02-07,4,3400000,Walk-in,Checked Out
BKG-2026032,GST-034,RM-301,2026-02-13,3,7200000,Direct Website,Cancelled
BKG-2026033,GST-032,RM-402,2026-02-06,1,900000,Agoda,Cancelled
BKG-2026034,GST-038,RM-301,2026-02-11,4,9600000,Booking.com,Confirmed
BKG-2026035,GST-026,RM-301,2026-02-20,3,7200000,Booking.com,Confirmed
BKG-2026036,GST-006,RM-202,2026-02-04,4,4400000,Walk-in,Checked Out
BKG-2026037,GST-012,RM-301,2026-02-15,4,9600000,Booking.com,Cancelled
BKG-2026038,GST-005,RM-101,2026-02-15,2,1300000,Walk-in,Cancelled
BKG-2026039,GST-007,RM-402,2026-02-06,1,900000,Traveloka,Cancelled
BKG-2026040,GST-003,RM-402,2026-02-10,1,900000,Traveloka,Confirmed
BKG-2026041,GST-010,RM-402,2026-02-07,4,3600000,Walk-in,Confirmed
BKG-2026042,GST-012,RM-301,2026-02-16,2,4800000,Agoda,Confirmed
BKG-2026043,GST-011,RM-102,2026-02-09,1,650000,Traveloka,Cancelled
BKG-2026044,GST-033,RM-202,2026-02-06,1,1100000,Direct Website,Checked Out
BKG-2026045,GST-035,RM-501,2026-02-13,5,8250000,Booking.com,Cancelled
BKG-2026046,GST-033,RM-301,2026-02-10,1,2400000,Agoda,Confirmed
BKG-2026047,GST-017,RM-101,2026-02-18,4,2600000,Booking.com,Checked Out
BKG-2026048,GST-011,RM-102,2026-02-14,1,650000,Booking.com,Cancelled
BKG-2026049,GST-031,RM-301,2026-02-15,4,9600000,Traveloka,Cancelled
BKG-2026050,GST-029,RM-202,2026-02-04,1,1100000,Direct Website,Confirmed
BKG-2026051,GST-001,RM-202,2026-02-13,4,4400000,Direct Website,Confirmed
BKG-2026052,GST-011,RM-102,2026-02-09,5,3250000,Walk-in,Cancelled
BKG-2026053,GST-036,RM-401,2026-02-12,1,850000,Direct Website,Checked Out
BKG-2026054,GST-004,RM-101,2026-02-01,5,3250000,Agoda,Confirmed
BKG-2026055,GST-021,RM-501,2026-02-03,4,6600000,Traveloka,Confirmed
BKG-2026056,GST-030,RM-401,2026-02-02,3,2550000,Booking.com,Confirmed
BKG-2026057,GST-008,RM-202,2026-02-06,5,5500000,Direct Website,Checked Out
BKG-2026058,GST-024,RM-402,2026-02-13,5,4500000,Agoda,Confirmed
BKG-2026059,GST-040,RM-402,2026-02-07,3,2700000,Direct Website,Cancelled
BKG-2026060,GST-011,RM-201,2026-02-10,1,1100000,Direct Website,Confirmed
BKG-2026061,GST-027,RM-402,2026-02-20,4,3600000,Agoda,Confirmed
BKG-2026062,GST-008,RM-101,2026-02-11,2,1300000,Booking.com,Cancelled
BKG-2026063,GST-039,RM-402,2026-02-11,5,4500000,Direct Website,Checked Out
BKG-2026064,GST-014,RM-402,2026-02-05,1,900000,Agoda,Cancelled
