salary_id,employee_id,base_salary_idr,performance_bonus_idr,tax_deductions_idr,net_salary_idr,pay_frequency
SAL-EMP-001,EMP-001,16843818,7124935,842190,23126563,Monthly
SAL-EMP-002,EMP-002,11327466,4157180,566373,14918273,Monthly
SAL-EMP-003,EMP-003,17936639,5775597,896831,22815405,Monthly
SAL-EMP-004,EMP-004,18397689,6439191,919884,23916996,Monthly
SAL-EMP-005,EMP-005,21566459,7720792,1078322,28208929,Monthly
SAL-EMP-006,EMP-006,21410771,7515180,1070538,27855413,Monthly
SAL-EMP-007,EMP-007,16912638,5784122,845631,21851129,Monthly
SAL-EMP-008,EMP-008,17815771,7429176,890788,24354159,Monthly
SAL-EMP-009,EMP-009,12610751,5132575,630537,17112789,Monthly
SAL-EMP-010,EMP-010,17811720,6928759,890586,23849893,Monthly
SAL-EMP-011,EMP-011,13936402,5100723,696820,18340305,Monthly
SAL-EMP-012,EMP-012,15322657,5592769,766132,20149294,Monthly
SAL-EMP-013,EMP-013,22678292,9978448,1133914,31522826,Monthly
SAL-EMP-014,EMP-014,9367571,4468331,468378,13367524,Monthly
SAL-EMP-015,EMP-015,19751048,7801663,987552,26565159,Monthly
SAL-EMP-016,EMP-016,15567961,5417650,778398,20207213,Monthly
SAL-EMP-017,EMP-017,10537938,3877961,526896,13889003,Monthly
SAL-EMP-018,EMP-018,26398162,9714523,1319908,34792777,Monthly
SAL-EMP-019,EMP-019,17483085,7115615,874154,23724546,Monthly
SAL-EMP-020,EMP-020,17166836,6454730,858341,22763225,Monthly
SAL-EMP-021,EMP-021,24095076,9638030,1204753,32528353,Monthly
SAL-EMP-022,EMP-022,10123003,3330467,506150,12947320,Monthly
SAL-EMP-023,EMP-023,15555822,5320091,777791,20098122,Monthly
SAL-EMP-024,EMP-024,22075878,9205641,1103793,30177726,Monthly
SAL-EMP-025,EMP-025,26469868,8814466,1323493,33960841,Monthly
SAL-EMP-026,EMP-026,11367708,3739975,568385,14539298,Monthly
SAL-EMP-027,EMP-027,12943847,4724504,647192,17021159,Monthly
SAL-EMP-028,EMP-028,12882755,5603998,644137,17842616,Monthly
SAL-EMP-029,EMP-029,27994391,11421711,1399719,38016383,Monthly
SAL-EMP-030,EMP-030,11778834,4629081,588941,15818974,Monthly
SAL-EMP-031,EMP-031,12177505,5065842,608875,16634472,Monthly
SAL-EMP-032,EMP-032,22865249,8871716,1143262,30593703,Monthly
SAL-EMP-033,EMP-033,22971264,11026206,1148563,32848907,Monthly
SAL-EMP-034,EMP-034,25403390,10872650,1270169,35005871,Monthly
SAL-EMP-035,EMP-035,11524668,4252602,576233,15201037,Monthly
SAL-EMP-036,EMP-036,16940271,5437826,847013,21531084,Monthly
SAL-EMP-037,EMP-037,21885339,8688479,1094266,29479552,Monthly
SAL-EMP-038,EMP-038,14917214,7369103,745860,21540457,Monthly
SAL-EMP-039,EMP-039,22825317,10248567,1141265,31932619,Monthly
SAL-EMP-040,EMP-040,23672582,8427439,1183629,30916392,Monthly
SAL-EMP-041,EMP-041,14333696,5604475,716684,19221487,Monthly
SAL-EMP-042,EMP-042,22872049,7707880,1143602,29436327,Monthly
SAL-EMP-043,EMP-043,11113740,5301253,555687,15859306,Monthly
SAL-EMP-044,EMP-044,19388118,6999110,969405,25417823,Monthly
SAL-EMP-045,EMP-045,26238250,9603199,1311912,34529537,Monthly
SAL-EMP-046,EMP-046,27071459,10612011,1353572,36329898,Monthly
SAL-EMP-047,EMP-047,25558503,10709012,1277925,34989590,Monthly
SAL-EMP-048,EMP-048,22581355,9168030,1129067,30620318,Monthly
SAL-EMP-049,EMP-049,24565037,9875144,1228251,33211930,Monthly
SAL-EMP-050,EMP-050,10906459,4297144,545322,14658281,Monthly
SAL-EMP-051,EMP-051,19732943,9096886,986647,27843182,Monthly
SAL-EMP-052,EMP-052,12570746,5028298,628537,16970507,Monthly
SAL-EMP-053,EMP-053,21321708,7761101,1066085,28016724,Monthly
SAL-EMP-054,EMP-054,16578741,5736244,828937,21486048,Monthly
SAL-EMP-055,EMP-055,14654077,5568549,732703,19489923,Monthly
SAL-EMP-056,EMP-056,11136033,5078031,556801,15657263,Monthly
SAL-EMP-057,EMP-057,23900155,11256973,1195007,33962121,Monthly
SAL-EMP-058,EMP-058,26346453,12093021,1317322,37122152,Monthly
SAL-EMP-059,EMP-059,18099969,7420987,904998,24615958,Monthly
SAL-EMP-060,EMP-060,13391464,6227030,669573,18948921,Monthly
