tracking_no,origin_hub_id,dest_hub_id,carrier_id,weight_kg,shipping_cost_idr,shipment_date,est_days,actual_days,delivery_status,is_delayed
EXP-20260001,HUB-SMG,HUB-MDN,CAR-03,8.6,306813,2026-02-25,1,1,Delivered,NO
EXP-20260002,HUB-SBY,HUB-BDG,CAR-02,1.1,19226,2026-02-13,2,2,Delivered,NO
EXP-20260003,HUB-BDG,HUB-DPS,CAR-03,32.8,1019555,2026-02-15,3,4,Delayed,YES
EXP-20260004,HUB-SMG,HUB-SBY,CAR-01,17.3,448070,2026-02-19,3,3,Delivered,NO
EXP-20260005,HUB-JKT,HUB-DPS,CAR-03,30.5,1062437,2026-02-16,4,4,Delivered,NO
EXP-20260006,HUB-MDN,HUB-DPS,CAR-05,22.1,831954,2026-02-22,1,1,Delivered,NO
EXP-20260007,HUB-JKT,HUB-SMG,CAR-01,16.8,585379,2026-02-26,2,2,Delivered,NO
EXP-20260008,HUB-DPS,HUB-SMG,CAR-01,24.0,1013856,2026-02-08,4,4,Delivered,NO
EXP-20260009,HUB-DPS,HUB-SBY,CAR-05,16.1,380909,2026-02-10,1,1,Delivered,NO
EXP-20260010,HUB-BDG,HUB-JKT,CAR-03,16.9,618168,2026-02-02,4,6,Delayed,YES
EXP-20260011,HUB-SMG,HUB-SBY,CAR-02,9.0,400059,2026-02-18,1,1,Delivered,NO
EXP-20260012,HUB-SMG,HUB-DPS,CAR-04,10.4,432900,2026-02-11,4,4,Delivered,NO
EXP-20260013,HUB-DPS,HUB-SMG,CAR-01,30.3,1121766,2026-02-24,1,3,Delayed,YES
EXP-20260014,HUB-BDG,HUB-DPS,CAR-04,22.0,482438,2026-02-23,2,3,Delayed,YES
EXP-20260015,HUB-BDG,HUB-MDN,CAR-04,0.9,30892,2026-02-28,1,1,Delivered,NO
EXP-20260016,HUB-SBY,HUB-BDG,CAR-01,34.2,723843,2026-02-19,4,4,Delivered,NO
EXP-20260017,HUB-SMG,HUB-MDN,CAR-02,12.7,551103,2026-02-12,3,4,Delayed,YES
EXP-20260018,HUB-SBY,HUB-SMG,CAR-03,30.8,468067,2026-02-13,1,1,Delivered,NO
EXP-20260019,HUB-DPS,HUB-SBY,CAR-03,25.1,727121,2026-02-19,1,1,Delivered,NO
EXP-20260020,HUB-BDG,HUB-SMG,CAR-04,3.6,120279,2026-02-15,2,4,Delayed,YES
EXP-20260021,HUB-MDN,HUB-BDG,CAR-05,3.3,76190,2026-02-03,2,2,Delivered,NO
EXP-20260022,HUB-SBY,HUB-BDG,CAR-05,14.8,624042,2026-02-03,2,4,Delayed,YES
EXP-20260023,HUB-MDN,HUB-DPS,CAR-05,6.4,259692,2026-02-15,3,3,Delivered,NO
EXP-20260024,HUB-SMG,HUB-DPS,CAR-03,30.5,611586,2026-02-15,1,1,Delivered,NO
EXP-20260025,HUB-SMG,HUB-JKT,CAR-05,7.7,335781,2026-02-04,3,3,Delivered,NO
EXP-20260026,HUB-JKT,HUB-SBY,CAR-01,17.7,343946,2026-02-16,3,3,Delivered,NO
EXP-20260027,HUB-SMG,HUB-JKT,CAR-05,32.5,1146437,2026-02-28,3,3,Delivered,NO
EXP-20260028,HUB-DPS,HUB-SMG,CAR-05,2.8,91417,2026-02-11,1,1,Delivered,NO
EXP-20260029,HUB-JKT,HUB-DPS,CAR-01,21.8,723738,2026-02-16,3,3,Delivered,NO
EXP-20260030,HUB-DPS,HUB-SBY,CAR-05,12.9,454995,2026-02-25,4,4,Delivered,NO
EXP-20260031,HUB-DPS,HUB-SBY,CAR-01,3.5,97548,2026-02-04,1,1,Delivered,NO
EXP-20260032,HUB-BDG,HUB-DPS,CAR-05,32.9,508634,2026-02-15,1,1,Delivered,NO
EXP-20260033,HUB-DPS,HUB-SMG,CAR-04,11.4,392593,2026-02-15,4,4,Delivered,NO
