inventory_id,sku,supplier_id,warehouse_shelf,current_stock,reorder_point,unit_cost_idr,stock_status
INV-001,SKU-101,SUP-03,Shelf C-01,99,43,56250,Normal
INV-002,SKU-102,SUP-03,Shelf A-02,37,41,27000,RESTOCK_NEEDED
INV-003,SKU-103,SUP-03,Shelf A-01,107,39,13875,Normal
INV-004,SKU-104,SUP-02,Shelf A-02,27,32,15750,RESTOCK_NEEDED
INV-005,SKU-105,SUP-04,Shelf A-02,38,60,33750,RESTOCK_NEEDED
INV-006,SKU-201,SUP-01,Shelf A-01,218,35,48750,Normal
INV-007,SKU-202,SUP-02,Shelf A-01,28,34,108750,RESTOCK_NEEDED
INV-008,SKU-203,SUP-01,Shelf C-01,16,36,71250,RESTOCK_NEEDED
INV-009,SKU-301,SUP-04,Shelf B-01,84,56,41250,Normal
INV-010,SKU-302,SUP-04,Shelf B-02,65,54,123750,Normal
