invoice_id,subscription_id,invoice_date,amount_usd,payment_status
INV-2026001,SUB-025,2026-02-13,49,PAID
INV-2026002,SUB-036,2026-02-08,49,PENDING
INV-2026003,SUB-050,2026-02-04,799,PAID
INV-2026004,SUB-004,2026-02-18,149,PAID
INV-2026005,SUB-009,2026-02-25,799,PAID
INV-2026006,SUB-016,2026-02-08,149,PAID
INV-2026007,SUB-047,2026-02-25,799,PAID
INV-2026008,SUB-048,2026-02-08,799,PAID
INV-2026009,SUB-030,2026-02-17,799,PAID
INV-2026010,SUB-005,2026-02-06,299,PAID
INV-2026011,SUB-033,2026-02-20,49,PAID
INV-2026012,SUB-045,2026-02-10,299,PAID
INV-2026013,SUB-043,2026-02-21,149,PAID
INV-2026014,SUB-041,2026-02-05,49,PAID
INV-2026015,SUB-043,2026-02-25,149,PAID
INV-2026016,SUB-006,2026-02-07,299,PAID
INV-2026017,SUB-042,2026-02-12,49,PAID
INV-2026018,SUB-024,2026-02-23,149,PAID
INV-2026019,SUB-013,2026-02-28,299,PAID
INV-2026020,SUB-039,2026-02-14,49,PAID
INV-2026021,SUB-001,2026-02-22,799,PAID
INV-2026022,SUB-018,2026-02-11,299,PENDING
INV-2026023,SUB-050,2026-02-12,799,PAID
INV-2026024,SUB-002,2026-02-16,799,PAID
INV-2026025,SUB-039,2026-02-22,49,PAID
INV-2026026,SUB-037,2026-02-09,299,PAID
INV-2026027,SUB-027,2026-02-24,149,PAID
INV-2026028,SUB-003,2026-02-05,49,PAID
INV-2026029,SUB-046,2026-02-04,299,PAID
INV-2026030,SUB-034,2026-02-24,149,PENDING
INV-2026031,SUB-039,2026-02-02,49,PAID
INV-2026032,SUB-044,2026-02-22,299,PAID
INV-2026033,SUB-046,2026-02-02,299,PAID
INV-2026034,SUB-007,2026-02-23,149,PAID
INV-2026035,SUB-023,2026-02-16,149,PAID
INV-2026036,SUB-020,2026-02-24,149,PAID
INV-2026037,SUB-002,2026-02-04,799,PAID
INV-2026038,SUB-037,2026-02-10,299,PAID
INV-2026039,SUB-046,2026-02-22,299,PAID
INV-2026040,SUB-045,2026-02-11,299,PAID
INV-2026041,SUB-038,2026-02-16,799,PAID
INV-2026042,SUB-034,2026-02-24,149,PAID
INV-2026043,SUB-050,2026-02-23,799,PAID
INV-2026044,SUB-034,2026-02-16,149,PAID
INV-2026045,SUB-037,2026-02-24,299,PAID
INV-2026046,SUB-025,2026-02-07,49,PAID
INV-2026047,SUB-012,2026-02-21,49,PAID
INV-2026048,SUB-028,2026-02-01,799,PAID
INV-2026049,SUB-031,2026-02-04,299,PAID
INV-2026050,SUB-036,2026-02-02,49,PAID
INV-2026051,SUB-012,2026-02-12,49,PAID
INV-2026052,SUB-030,2026-02-26,799,PAID
INV-2026053,SUB-017,2026-02-28,299,PAID
INV-2026054,SUB-021,2026-02-06,799,PAID
INV-2026055,SUB-011,2026-02-06,299,PAID
INV-2026056,SUB-027,2026-02-20,149,PAID
INV-2026057,SUB-020,2026-02-28,149,PAID
INV-2026058,SUB-040,2026-02-20,49,PAID
INV-2026059,SUB-042,2026-02-27,49,PAID
INV-2026060,SUB-040,2026-02-28,49,PAID
INV-2026061,SUB-049,2026-02-10,299,PAID
INV-2026062,SUB-035,2026-02-27,49,PAID
INV-2026063,SUB-035,2026-02-14,49,PAID
INV-2026064,SUB-032,2026-02-18,49,PAID
