subscription_id,company_name,plan_id,seats_purchased,start_date,renewal_date,status
SUB-001,Company 001 Tech,PLAN-04,14,2025-12-04,2026-11-25,Active
SUB-002,Company 002 Tech,PLAN-04,66,2025-02-24,2026-06-19,Cancelled
SUB-003,Company 003 Tech,PLAN-01,71,2025-01-13,2026-08-14,Active
SUB-004,Company 004 Tech,PLAN-02,76,2025-03-16,2026-03-28,Active
SUB-005,Company 005 Tech,PLAN-03,54,2025-04-20,2026-08-25,Past Due
SUB-006,Company 006 Tech,PLAN-03,50,2025-01-24,2026-06-11,Past Due
SUB-007,Company 007 Tech,PLAN-02,67,2025-03-16,2026-04-26,Active
SUB-008,Company 008 Tech,PLAN-03,69,2025-03-15,2026-09-04,Active
SUB-009,Company 009 Tech,PLAN-04,8,2025-06-12,2026-04-01,Past Due
SUB-010,Company 010 Tech,PLAN-02,73,2025-01-15,2026-03-05,Trial
SUB-011,Company 011 Tech,PLAN-03,13,2025-06-05,2026-11-13,Trial
SUB-012,Company 012 Tech,PLAN-01,34,2025-10-04,2026-08-02,Trial
SUB-013,Company 013 Tech,PLAN-03,78,2025-10-05,2026-11-04,Past Due
SUB-014,Company 014 Tech,PLAN-01,52,2025-10-11,2026-01-24,Past Due
SUB-015,Company 015 Tech,PLAN-02,28,2025-11-14,2026-07-24,Active
SUB-016,Company 016 Tech,PLAN-02,72,2025-01-03,2026-05-15,Cancelled
SUB-017,Company 017 Tech,PLAN-03,45,2025-03-07,2026-05-26,Active
SUB-018,Company 018 Tech,PLAN-03,75,2025-08-05,2026-05-15,Active
SUB-019,Company 019 Tech,PLAN-01,68,2025-05-24,2026-04-18,Trial
SUB-020,Company 020 Tech,PLAN-02,29,2025-06-10,2026-09-26,Cancelled
SUB-021,Company 021 Tech,PLAN-04,40,2025-03-25,2026-04-27,Cancelled
SUB-022,Company 022 Tech,PLAN-02,83,2025-01-17,2026-12-07,Trial
SUB-023,Company 023 Tech,PLAN-02,48,2025-05-14,2026-03-28,Trial
SUB-024,Company 024 Tech,PLAN-02,12,2025-03-18,2026-02-28,Active
SUB-025,Company 025 Tech,PLAN-01,25,2025-08-04,2026-10-25,Active
SUB-026,Company 026 Tech,PLAN-04,6,2025-12-25,2026-01-10,Past Due
SUB-027,Company 027 Tech,PLAN-02,76,2025-01-19,2026-12-13,Trial
SUB-028,Company 028 Tech,PLAN-04,83,2025-09-01,2026-09-17,Active
SUB-029,Company 029 Tech,PLAN-04,41,2025-09-06,2026-07-14,Past Due
SUB-030,Company 030 Tech,PLAN-04,72,2025-12-15,2026-07-28,Trial
SUB-031,Company 031 Tech,PLAN-03,10,2025-02-26,2026-09-19,Trial
SUB-032,Company 032 Tech,PLAN-01,80,2025-07-09,2026-10-19,Cancelled
SUB-033,Company 033 Tech,PLAN-01,43,2025-10-07,2026-10-28,Past Due
SUB-034,Company 034 Tech,PLAN-02,66,2025-07-06,2026-02-20,Cancelled
SUB-035,Company 035 Tech,PLAN-01,43,2025-11-15,2026-12-25,Cancelled
SUB-036,Company 036 Tech,PLAN-01,57,2025-09-01,2026-07-26,Cancelled
SUB-037,Company 037 Tech,PLAN-03,75,2025-12-19,2026-06-24,Trial
SUB-038,Company 038 Tech,PLAN-04,4,2025-04-03,2026-11-19,Past Due
SUB-039,Company 039 Tech,PLAN-01,45,2025-11-17,2026-09-18,Active
SUB-040,Company 040 Tech,PLAN-01,69,2025-04-21,2026-12-22,Past Due
SUB-041,Company 041 Tech,PLAN-01,41,2025-03-11,2026-11-10,Past Due
SUB-042,Company 042 Tech,PLAN-01,24,2025-02-01,2026-12-05,Trial
SUB-043,Company 043 Tech,PLAN-02,17,2025-02-16,2026-03-28,Active
SUB-044,Company 044 Tech,PLAN-03,48,2025-05-22,2026-06-27,Past Due
SUB-045,Company 045 Tech,PLAN-03,59,2025-07-21,2026-09-18,Active
SUB-046,Company 046 Tech,PLAN-03,46,2025-08-28,2026-12-01,Active
SUB-047,Company 047 Tech,PLAN-04,52,2025-05-22,2026-05-08,Trial
SUB-048,Company 048 Tech,PLAN-04,27,2025-09-03,2026-01-01,Active
SUB-049,Company 049 Tech,PLAN-03,57,2025-10-17,2026-07-05,Trial
SUB-050,Company 050 Tech,PLAN-04,8,2025-08-17,2026-12-25,Past Due
