record_id,customer_id,contract_type,monthly_charges_idr,tenure_months,has_churned,churn_risk_score
REC-TEL-0001,TEL-0001,One Year Contract,555833,18,NO,0.34
REC-TEL-0002,TEL-0002,One Year Contract,758323,21,NO,0.77
REC-TEL-0003,TEL-0003,Month-to-Month,361471,27,YES,0.84
REC-TEL-0004,TEL-0004,Month-to-Month,926313,47,YES,0.43
REC-TEL-0005,TEL-0005,One Year Contract,570331,16,NO,0.61
REC-TEL-0006,TEL-0006,One Year Contract,1019028,38,NO,0.91
REC-TEL-0007,TEL-0007,One Year Contract,886988,32,NO,0.81
REC-TEL-0008,TEL-0008,Month-to-Month,980510,30,YES,0.88
REC-TEL-0009,TEL-0009,Two Year Contract,974922,19,NO,0.29
REC-TEL-0010,TEL-0010,One Year Contract,852462,32,NO,0.64
REC-TEL-0011,TEL-0011,One Year Contract,858911,16,NO,0.9
REC-TEL-0012,TEL-0012,Two Year Contract,751961,3,NO,0.89
REC-TEL-0013,TEL-0013,Month-to-Month,613813,15,YES,0.83
REC-TEL-0014,TEL-0014,Two Year Contract,653079,27,NO,0.23
REC-TEL-0015,TEL-0015,Two Year Contract,402315,9,NO,0.66
REC-TEL-0016,TEL-0016,Two Year Contract,751911,5,NO,0.3
REC-TEL-0017,TEL-0017,One Year Contract,555121,35,NO,0.11
REC-TEL-0018,TEL-0018,One Year Contract,580788,13,NO,0.72
REC-TEL-0019,TEL-0019,Two Year Contract,852248,20,NO,0.71
REC-TEL-0020,TEL-0020,One Year Contract,837098,26,NO,0.22
REC-TEL-0021,TEL-0021,One Year Contract,576617,10,NO,0.85
REC-TEL-0022,TEL-0022,Two Year Contract,745334,43,NO,0.56
REC-TEL-0023,TEL-0023,One Year Contract,992607,48,NO,0.86
REC-TEL-0024,TEL-0024,One Year Contract,450993,42,NO,0.39
REC-TEL-0025,TEL-0025,Two Year Contract,384922,7,NO,0.35
REC-TEL-0026,TEL-0026,One Year Contract,858425,27,NO,0.11
REC-TEL-0027,TEL-0027,One Year Contract,366665,2,NO,0.8
REC-TEL-0028,TEL-0028,Two Year Contract,641448,10,NO,0.6
REC-TEL-0029,TEL-0029,One Year Contract,708319,37,NO,0.81
REC-TEL-0030,TEL-0030,Month-to-Month,1059131,31,YES,0.8
REC-TEL-0031,TEL-0031,Two Year Contract,639137,6,NO,0.93
REC-TEL-0032,TEL-0032,One Year Contract,946516,19,NO,0.59
REC-TEL-0033,TEL-0033,Month-to-Month,925998,33,YES,0.84
REC-TEL-0034,TEL-0034,Two Year Contract,686508,26,NO,0.72
REC-TEL-0035,TEL-0035,Month-to-Month,813034,10,YES,0.35
REC-TEL-0036,TEL-0036,One Year Contract,832855,44,NO,0.57
REC-TEL-0037,TEL-0037,Month-to-Month,722969,36,NO,0.55
REC-TEL-0038,TEL-0038,Month-to-Month,569732,18,YES,0.76
REC-TEL-0039,TEL-0039,Month-to-Month,613679,48,NO,0.46
REC-TEL-0040,TEL-0040,Two Year Contract,995142,5,NO,0.68
REC-TEL-0041,TEL-0041,Two Year Contract,417988,10,NO,0.17
REC-TEL-0042,TEL-0042,One Year Contract,814531,15,NO,0.46
REC-TEL-0043,TEL-0043,Month-to-Month,824456,16,NO,0.3
REC-TEL-0044,TEL-0044,Two Year Contract,645841,28,NO,0.71
REC-TEL-0045,TEL-0045,One Year Contract,910563,29,NO,0.81
REC-TEL-0046,TEL-0046,Month-to-Month,1049756,25,YES,0.36
REC-TEL-0047,TEL-0047,Two Year Contract,376246,39,NO,0.17
REC-TEL-0048,TEL-0048,Two Year Contract,935265,7,NO,0.6
REC-TEL-0049,TEL-0049,One Year Contract,594480,30,NO,0.66
REC-TEL-0050,TEL-0050,Two Year Contract,612130,43,NO,0.39
