customer_id,customer_name,gender,city,join_date
TEL-0001,Subscriber 001,Male,Bandung,2022-09-08
TEL-0002,Subscriber 002,Female,Bandung,2024-11-19
TEL-0003,Subscriber 003,Female,Bandung,2024-07-21
TEL-0004,Subscriber 004,Male,Jakarta,2025-08-12
TEL-0005,Subscriber 005,Female,Jakarta,2024-07-22
TEL-0006,Subscriber 006,Female,Bandung,2022-06-11
TEL-0007,Subscriber 007,Female,Medan,2022-07-12
TEL-0008,Subscriber 008,Male,Jakarta,2024-12-03
TEL-0009,Subscriber 009,Female,Jakarta,2023-06-27
TEL-0010,Subscriber 010,Male,Medan,2025-10-15
TEL-0011,Subscriber 011,Male,Jakarta,2024-12-17
TEL-0012,Subscriber 012,Female,Medan,2023-12-13
TEL-0013,Subscriber 013,Male,Bandung,2025-09-11
TEL-0014,Subscriber 014,Female,Surabaya,2022-05-04
TEL-0015,Subscriber 015,Male,Surabaya,2025-08-27
TEL-0016,Subscriber 016,Male,Surabaya,2022-11-04
TEL-0017,Subscriber 017,Male,Bandung,2023-02-06
TEL-0018,Subscriber 018,Male,Medan,2022-10-04
TEL-0019,Subscriber 019,Female,Medan,2023-04-07
TEL-0020,Subscriber 020,Male,Bandung,2022-08-23
TEL-0021,Subscriber 021,Male,Jakarta,2023-01-24
TEL-0022,Subscriber 022,Female,Medan,2022-01-26
TEL-0023,Subscriber 023,Male,Bandung,2025-05-11
TEL-0024,Subscriber 024,Male,Jakarta,2023-03-04
TEL-0025,Subscriber 025,Male,Surabaya,2024-04-13
TEL-0026,Subscriber 026,Male,Medan,2024-10-15
TEL-0027,Subscriber 027,Male,Medan,2023-02-13
TEL-0028,Subscriber 028,Female,Surabaya,2023-02-21
TEL-0029,Subscriber 029,Female,Medan,2022-10-18
TEL-0030,Subscriber 030,Female,Bandung,2022-05-26
TEL-0031,Subscriber 031,Male,Medan,2024-12-09
TEL-0032,Subscriber 032,Female,Bandung,2022-04-17
TEL-0033,Subscriber 033,Female,Medan,2024-06-13
TEL-0034,Subscriber 034,Male,Medan,2023-03-17
TEL-0035,Subscriber 035,Male,Medan,2025-03-22
TEL-0036,Subscriber 036,Male,Medan,2025-11-05
TEL-0037,Subscriber 037,Female,Jakarta,2022-05-02
TEL-0038,Subscriber 038,Female,Jakarta,2023-02-21
TEL-0039,Subscriber 039,Female,Medan,2022-02-15
TEL-0040,Subscriber 040,Male,Medan,2024-05-07
TEL-0041,Subscriber 041,Female,Surabaya,2022-08-27
TEL-0042,Subscriber 042,Female,Jakarta,2025-02-27
TEL-0043,Subscriber 043,Female,Bandung,2025-06-03
TEL-0044,Subscriber 044,Female,Bandung,2023-12-07
TEL-0045,Subscriber 045,Male,Surabaya,2025-09-10
TEL-0046,Subscriber 046,Male,Medan,2024-02-03
TEL-0047,Subscriber 047,Female,Bandung,2025-10-21
TEL-0048,Subscriber 048,Male,Jakarta,2024-03-07
TEL-0049,Subscriber 049,Female,Bandung,2023-10-26
TEL-0050,Subscriber 050,Female,Surabaya,2024-10-04
